{'loss': 0.3159, 'grad_norm': 0.8461252450942993, 'learning_rate': 3.9509838856554624e-05, 'epoch': 0.63}
{'loss': 0.3145, 'grad_norm': 0.857429563999176, 'learning_rate': 3.9311873935938554e-05, 'epoch': 0.64}
{'loss': 0.3147, 'grad_norm': 0.9895980358123779, 'learning_rate': 3.9113909015322483e-05, 'epoch': 0.65}
{'loss': 0.3238, 'grad_norm': 0.9065332412719727, 'learning_rate': 3.891594409470642e-05, 'epoch': 0.67}
{'loss': 0.3061, 'grad_norm': 1.1277666091918945, 'learning_rate': 3.871797917409035e-05, 'epoch': 0.68}
{'loss': 0.3106, 'grad_norm': 1.0052580833435059, 'learning_rate': 3.8520014253474286e-05, 'epoch': 0.69}
{'loss': 0.3019, 'grad_norm': 0.7873765826225281, 'learning_rate': 3.8322049332858216e-05, 'epoch': 0.7}
{'loss': 0.3154, 'grad_norm': 0.7824878096580505, 'learning_rate': 3.812408441224215e-05, 'epoch': 0.71}
{'loss': 0.3162, 'grad_norm': 0.5472954511642456, 'learning_rate': 3.792611949162608e-05, 'epoch': 0.72}
{'loss': 0.3144, 'grad_norm': 0.8263983726501465, 'learning_rate': 3.772815457101002e-05, 'epoch': 0.74}
{'loss': 0.2947, 'grad_norm': 0.5991577506065369, 'learning_rate': 3.7530189650393956e-05, 'epoch': 0.75}
{'loss': 0.2932, 'grad_norm': 0.9878920316696167, 'learning_rate': 3.7332224729777885e-05, 'epoch': 0.76}
{'loss': 0.3083, 'grad_norm': 0.9478204250335693, 'learning_rate': 3.713425980916182e-05, 'epoch': 0.77}
{'loss': 0.2977, 'grad_norm': 0.6575618982315063, 'learning_rate': 3.693629488854575e-05, 'epoch': 0.78}
{'loss': 0.3021, 'grad_norm': 1.00497567653656, 'learning_rate': 3.673832996792969e-05, 'epoch': 0.8}
{'loss': 0.3126, 'grad_norm': 0.8225952982902527, 'learning_rate': 3.654036504731362e-05, 'epoch': 0.81}
{'loss': 0.31, 'grad_norm': 0.7974832653999329, 'learning_rate': 3.634240012669755e-05, 'epoch': 0.82}
{'loss': 0.3176, 'grad_norm': 1.1152018308639526, 'learning_rate': 3.6144435206081484e-05, 'epoch': 0.83}
{'loss': 0.2954, 'grad_norm': 0.7847025394439697, 'learning_rate': 3.5946470285465414e-05, 'epoch': 0.84}
{'loss': 0.3015, 'grad_norm': 1.2166833877563477, 'learning_rate': 3.574850536484935e-05, 'epoch': 0.86}
{'loss': 0.3031, 'grad_norm': 0.8289198279380798, 'learning_rate': 3.555054044423328e-05, 'epoch': 0.87}
{'loss': 0.3082, 'grad_norm': 0.5746062397956848, 'learning_rate': 3.535257552361722e-05, 'epoch': 0.88}
{'loss': 0.2924, 'grad_norm': 0.6889123320579529, 'learning_rate': 3.515461060300115e-05, 'epoch': 0.89}
